asin,name,brand,price,rating,total_ratings,file_source,amperag_capac,amperag_capac_origin,batteri_includ,batteri_includ_origin,best_seller_rank,best_seller_rank_origin,brand_name,brand_name_origin,certification,certification_origin,color,color_origin,compatibledevic,compatibledevic_origin,conductor_count,conductor_count_origin,connectortyp,connectortyp_origin,contactmateri,contactmateri_origin,countryoforigin,countryoforigin_origin,current,current_origin,custom_review,custom_review_origin,date_first_avail,date_first_avail_origin,descript,descript_origin,finish,finish_origin,gaug,gaug_origin,inputcurr,inputcurr_origin,instal_method,instal_method_origin,is_discontinu_by_manufactur,is_discontinu_by_manufactur_origin,length,length_origin,manufactur,manufactur_origin,materi,materi_origin,measur_system,measur_system_origin,no_of_wire,no_of_wire_origin,number_of_cabl_strand,number_of_cabl_strand_origin,packag_dimens,packag_dimens_origin,pattern,pattern_origin,plug_format,plug_format_origin,power_sourc,power_sourc_origin,shape,shape_origin,size,size_origin,specif_met,specif_met_origin,studsiz,studsiz_origin,style,style_origin,suggest_user,suggest_user_origin,switch_style,switch_style_origin,temperatur,temperatur_origin,termin,termin_origin,upc,upc_origin,usag,usag_origin,voltag,voltag_origin,wattag,wattag_origin
B0C1H1B4P4,"trueCABLE Shielded Ethernet Patch Panel Bond & Ground Extension Wire Adapter, NEMA 5-15P 3 Prong Plug, 14 AWG, 6 Foot",TRUECABLE,28.99,4.8,23.0,B0C1H1B4P4_product_details.json,,,,,"#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire","{'details_table': '#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire'}",,,UL,{'features': 'UL'},green,{'features': 'green'},"ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors","{'overview': 'ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors'}",,,Plugin,{'overview': 'Plugin'},,,Taiwan,{'details_table': 'Taiwan'},15A,{'features': '15A'},4.84.8outof5stars23ratings,{'details_table': '4.84.8outof5stars23ratings'},"March21,2023","{'details_table': 'March21,2023'}",,,,,14AWG,"{'product_name': '14AWG', 'features': '14 AWG'}",,,,,,,Ethernet,{'overview': 'Cat6'},trueCABLE,{'details_table': 'trueCABLE'},copper,{'features': 'copper'},,,,,truePLUG,{'details_table': 'truePLUG'},5.08x2.09x2.05inches;2.7ounces,{'details_table': '5.08x2.09x2.05inches;2.7ounces'},,,,,,,,,3.70m,{'features': '3.70m'},,,,,,,,,,,6°F,{'product_name': '6°F'},,,,,,,,,,
B0CPPWBGT8,"22 Gauge Wire 2 Conductor Electrical Wire, 22 AWG Wire Stranded PVC Cord, 12V Low Voltage/Oxygen-Free Tinned Copper/Flexible 22/2 Cable for Automotive Marine LED Strips Lamps Lighting (30FT/ 9M)",Oududianzi,9.99,4.8,435.0,B0CPPWBGT8_product_details.json,,,,,"#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire","{'details_table': '#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire'}",,,Flame retardant,{'features': 'Flame retardant'},⚠️CONFLICT⚠️ 2C-22AWG,"{'overview': '2C-22AWG', 'features': 'Black'}",,,⚠️CONFLICT⚠️ 2C,"{'product_name': '2', 'variant_info': '2C', 'variants': '4', 'features': '2 Conductor'}",,,,,,,3A,{'features': '3A'},4.84.8outof5stars435ratings,{'details_table': '4.84.8outof5stars435ratings'},"December7,2023","{'details_table': 'December7,2023'}",,,,,⚠️CONFLICT⚠️ 22,"{'product_name': '22AWG', 'overview': '22', 'variants': '18AWG', 'variant_info': '16AWG', 'from_the_manufacturer': '12AWG', 'features': '22 gauge'}",,,,,,,⚠️CONFLICT⚠️ 100FT,"{'product_name': '30 ft', 'from_the_manufacturer': '100FT', 'features': '30FT', 'variants': '300 ft', 'overview': 'MultiStrand'}",Yongshun,{'details_table': 'Yongshun'},⚠️CONFLICT⚠️ TinnedCopper,"{'product_name': 'PVC', 'overview': 'TinnedCopper', 'features': 'tinned copper'}",,,2 wires,"{'features': '2 wires', 'from_the_manufacturer': '14/12AWG'}",,,5.79x5.79x1.5inches;3.84ounces,{'details_table': '5.79x5.79x1.5inches;3.84ounces'},,,,,,,,,⚠️CONFLICT⚠️ 100FT,"{'from_the_manufacturer': '100FT', 'features': '2.5m'}",,,,,,,,,,,⚠️CONFLICT⚠️ 2°F,"{'product_name': '2°F', 'variants': '4°C', 'features': '40°F'}",,,,,,,12V,"{'product_name': '12V', 'features': '300V'}",,
B07J4G6C6C,"25ft Rope Covered Lamp Twisted Wire,PRUNLLA Vintage 18/2 Industrial Electrical Hemp Rope Cord,18-Gauge Antique Style for Retro Lamp,DIY Projects",PRUNLLA,16.99,4.6,291.0,B07P6GYHVP_product_details.json,,,,,"#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire","{'details_table': '#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire'}",,,,,HempRope,{'overview': 'HempRope'},,,2,"{'product_name': '2', 'features': '2 Conductor'}",,,,,,,,,4.64.6outof5stars291ratings,{'details_table': '4.64.6outof5stars291ratings'},"October8,2018","{'details_table': 'October8,2018'}",,,,,⚠️CONFLICT⚠️ 18.0,"{'product_name': '18AWG', 'overview': '18.0', 'features': '18AWG'}",,,,,No,{'details_table': 'No'},⚠️CONFLICT⚠️ 25 Feet,"{'product_name': '25 ft', 'from_the_manufacturer': '25 Feet', 'features': '25ft', 'variants': '32.8 ft', 'overview': '2'}",PRUNLLA,{'details_table': 'PRUNLLA'},Copper,"{'overview': 'Copper', 'from_the_manufacturer': 'Tinned Copper', 'features': 'Copper'}",,,2 wires,{'from_the_manufacturer': '2 wires'},,,8.74x8.07x2.32inches;10.23ounces,{'details_table': '8.74x8.07x2.32inches;10.23ounces'},,,,,,,,,⚠️CONFLICT⚠️ 25 Feet,"{'from_the_manufacturer': '25 Feet', 'features': '25ft'}",,,,,,,,,,,25°C,"{'product_name': '25°C', 'from_the_manufacturer': '105°C'}",,,,,,,300V,"{'from_the_manufacturer': '300V', 'features': '300V'}",,
B003J63662,"Southwire 55213443 100-Feet 12-Gauge 2 Conductor 12/2 Low-Voltage Underground Direct Burial Landscape Lighting Cable, Black",Southwire,84.0,4.7,771.0,B003J63662_product_details.json,,,No,{'details_table': 'Wire'},"#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire","{'details_table': '#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire'}",,,CSA,{'features': 'CSA'},black,"{'product_name': 'Black', 'overview': 'black', 'details_table': 'black'}",,,2,{'product_name': '2'},,,,,,,,,"4.7  4.7 out of 5 stars    
    771 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    771 ratings   \n\n\n 4.7 out of 5 stars'},"December 13, 2011","{'details_table': 'December 13, 2011'}",Warranty,{'details_table': 'Warranty'},,,⚠️CONFLICT⚠️ 2_gauge,"{'product_name': '12AWG', 'overview': '2_gauge', 'details_table': '2_gauge', 'features': '12 gauge'}",,,,,No,{'details_table': 'No'},100 ft,"{'features': '100 ft', 'overview': '12strands'}",Southwire,{'details_table': 'Southwire'},Polyvinyl Chloride,"{'overview': 'PolyvinylChloride', 'details_table': 'Polyvinyl Chloride'}",,,2,{'details_table': '2'},12 strands,{'details_table': '1'},11 x 10 x 17 inches,{'details_table': '11 x 10 x 17 inches'},,,,,,,Round,{'details_table': 'Round'},100 ft,"{'details_table': '100 ft', 'features': '100 ft'}",,,,,,,,,,,2°F,{'product_name': '2°F'},,,032886860485,{'details_table': '032886860485'},,,150 Volts,{'details_table': '150 Volts'},,
B0CSW2L7RC,"22 Gauge Electrical Wire 8 Conductor, 22AWG 50FT Thermostat Wire PVC Stranded, 22/8 Low Voltage LED Cable, Flexible Extension Power Cord, Tinned Copper Cable Hookup Wire",YAMAWIROU,21.23,4.6,136.0,B0CSW2L7RC_product_details.json,,,,,"#165,195inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#816inElectricalWire","{'details_table': '#165,195inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#816inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},Black,{'overview': 'Black'},,,⚠️CONFLICT⚠️ 4C,"{'product_name': '8', 'variant_info': '4C', 'variants': '8', 'from_the_manufacturer': '8 Conductor', 'features': '8 Conductor'}",,,,,China,{'details_table': 'China'},5A,{'features': '5A'},4.64.6outof5stars136ratings,{'details_table': '4.64.6outof5stars136ratings'},"January20,2024","{'details_table': 'January20,2024'}",,,,,22AWG,"{'product_name': '22AWG', 'variants': '22AWG', 'variant_info': '22AWG', 'from_the_manufacturer': '22 Gauge', 'features': '22AWG'}",,,,,,,⚠️CONFLICT⚠️ 50Ft,"{'product_name': '50 ft', 'features': '50Ft', 'variants': '100 ft', 'overview': '8'}",YAMAWIROU,{'details_table': 'YAMAWIROU'},⚠️CONFLICT⚠️ Copper,"{'product_name': 'PVC', 'overview': 'Copper', 'features': 'tinned copper'}",,,,,,,2x2x2inches;4.8ounces,{'details_table': '2x2x2inches;4.8ounces'},,,,,,,,,50Ft,{'features': '50Ft'},,,,,,,,,,,⚠️CONFLICT⚠️ 8°F,"{'product_name': '8°F', 'variants': '100°F'}",,,,,,,300Volts,"{'overview': '300Volts', 'features': '300V'}",,
B01MDKIL5N,YXQ 30AWG Wire Wrapping Wire PVC Coated Tin Plated Copper Wire Cable 305M White Coated Wire for DIY PCB Soldering,YXQ,7.99,4.4,116.0,B01MDKIL5N_product_details.json,,,No,{'details_table': 'No'},"#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire","{'details_table': '#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire'}",,,,,White,"{'product_name': 'White', 'overview': 'White', 'details_table': 'White', 'variants': 'White'}",,,8,{'variants': '8'},,,,,,,,,"4.4  4.4 out of 5 stars    
    116 ratings   


 4.4 out of 5 stars",{'details_table': '4.4  4.4 out of 5 stars    \n    116 ratings   \n\n\n 4.4 out of 5 stars'},"October 11, 2016","{'details_table': 'October 11, 2016'}",,,,,30AWG,"{'product_name': '30AWG', 'features': '30AWG'}",,,,,No,{'details_table': 'No'},⚠️CONFLICT⚠️ 305M,"{'product_name': '305 m', 'features': '305M', 'overview': '1'}",YXQ,{'details_table': 'YXQ'},⚠️CONFLICT⚠️ Tin-plated Copper,"{'product_name': 'PVC', 'overview': 'Tin-platedCopper', 'details_table': 'Tin-plated Copper', 'features': 'PVC'}",,,1,"{'details_table': '1', 'overview': '1'}",1,{'details_table': 'DGDQ00073'},4.84 x 3.43 x 1.5 inches,{'details_table': '4.84 x 3.43 x 1.5 inches'},,,,,,,,,1000 Feet,"{'details_table': '1000 Feet', 'features': '153g'}",,,,,,,,,,,,,,,611553144952,{'details_table': '611553144952'},,,,,,
B0C4GXNNBD,"Firmerst 18 Gauge 200 Feet 4 Conductor Tinned Copper Electrical Wire for Lighting, Speakers, Relays, Controllers",FIRMERST,73.99,4.7,336.0,B0C4GXNNBD_product_details.json,,,,,"#43,912inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#233inElectricalWire","{'details_table': '#43,912inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#233inElectricalWire'}",,,VW-1,{'features': 'VW-1'},,,,,⚠️CONFLICT⚠️ 2C,"{'product_name': '4', 'variant_info': '2C', 'variants': '3', 'from_the_manufacturer': '4 conductor', 'features': '4 conductor'}",,,,,,,,,4.74.7outof5stars336ratings,{'details_table': '4.74.7outof5stars336ratings'},"May6,2023","{'details_table': 'May6,2023'}",,,,,⚠️CONFLICT⚠️ 18AWG,"{'product_name': '18AWG', 'variants': '22AWG', 'variant_info': '16AWG', 'from_the_manufacturer': '18 Gauge', 'features': '18 AWG'}",,,,,,,⚠️CONFLICT⚠️ 200 ft,"{'product_name': '200 ft', 'features': '200 ft', 'variants': '500 ft', 'overview': 'MultiStrand'}",FIRMERST,{'details_table': 'FIRMERST'},⚠️CONFLICT⚠️ TinnedCopper,"{'product_name': 'Tinned Copper', 'overview': 'TinnedCopper', 'from_the_manufacturer': 'PVC', 'features': 'Tinned copper'}",,,4,{'overview': '4'},MDEW18G200FT4CBK-USA,{'details_table': 'MDEW18G200FT4CBK-USA'},,,,,,,,,,,200 ft,"{'features': '200 ft', 'details_table': '2x1x2inches;11.77Pounds'}",,,,,,,,,,,⚠️CONFLICT⚠️ 200°F,"{'product_name': '200°F', 'variants': '3°C'}",,,,,,,300Volts,"{'overview': '300Volts', 'features': '300V'}",,
B07CWPTHYH,"40ft 18 AWG Gauge Electrical Wire, Premium DC 12V Hookup Red Black Copper Stranded Auto 2 Cord, Flexible Extension Cable with Spool for LED Ribbon Lamp Light or Low Voltage Products by MILAPEAK",MILAPEAK,11.89,4.6,457.0,B07CWPTHYH_product_details.json,,,,,"#479,731inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,203inElectricalWire","{'details_table': '#479,731inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,203inElectricalWire'}",,,,,⚠️CONFLICT⚠️ Black,"{'product_name': 'Red', 'overview': 'Black', 'from_the_manufacturer': 'Red'}",,,2,{'product_name': '2'},,,,,,,,,4.64.6outof5stars457ratings,{'details_table': '4.64.6outof5stars457ratings'},"May7,2018","{'details_table': 'May7,2018'}",,,,,⚠️CONFLICT⚠️ 18.00,"{'product_name': '18AWG', 'overview': '18.00', 'from_the_manufacturer': '18 AWG', 'features': '18 AWG'}",,,,,No,{'details_table': 'No'},⚠️CONFLICT⚠️ 50 feet,"{'product_name': '40 ft', 'from_the_manufacturer': '50 feet', 'features': '40 feet', 'overview': '2'}",MILAPEAK,{'details_table': 'MILAPEAK'},Copper,"{'product_name': 'Copper', 'overview': 'Copper', 'from_the_manufacturer': 'Tinned Copper', 'features': 'tinned copper'}",,,,,MP-C002-05-097,{'details_table': 'MP-C002-05-097'},,,,,,,,,,,0.85 m,"{'from_the_manufacturer': '0.85 m', 'features': '0.85 m', 'details_table': '2.56x2.56x2.36inches;11.22ounces'}",,,,,,,,,,,40°F,{'product_name': '40°F'},,,,,,,12V,"{'product_name': '12V', 'from_the_manufacturer': '12V'}",,
B0B3H27JG2,"20 AWG PVC Electrical Wire,THUN-CT Electrical Wire Kit 6 Colors (23ft Each),Tinned Copper Wire, 20 Gauge Stranded Hook Up Wires Kit",THUN-CT,13.79,4.6,1521.0,B0B3H27JG2_product_details.json,,,,,"#114,274inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#599inElectricalWire","{'details_table': '#114,274inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#599inElectricalWire'}",,,,,6Colors,{'overview': '6Colors'},,,6,"{'product_name': '6', 'from_the_manufacturer': '60C'}",,,,,China,{'details_table': 'China'},,,"4.64.6outof5stars1,521ratings","{'details_table': '4.64.6outof5stars1,521ratings'}","April25,2023","{'details_table': 'April25,2023'}",,,,,⚠️CONFLICT⚠️ 20.0,"{'product_name': '20AWG', 'overview': '20.0', 'variants': '22AWG', 'variant_info': '22AWG', 'features': '20 AWG'}",,,,,,,⚠️CONFLICT⚠️ 7Meters,"{'product_name': '23 ft', 'features': '7Meters', 'variants': '26.25 ft', 'overview': '26'}",THUN-CT,{'details_table': 'THUN-CT'},⚠️CONFLICT⚠️ Copper,"{'product_name': 'PVC', 'overview': 'Copper', 'variants': 'PVC', 'from_the_manufacturer': 'Tinned copper', 'features': 'TINNED COPPER'}",,,,,,,7.09x5.98x0.94inches;14.89ounces,{'details_table': '7.09x5.98x0.94inches;14.89ounces'},,,,,,,,,⚠️CONFLICT⚠️ 0.10m,"{'from_the_manufacturer': '0.10m', 'features': '0.16 m'}",,,,,,,,,,,⚠️CONFLICT⚠️ 6°C,"{'product_name': '6°C', 'variants': '26.25°C'}",,,,,,,⚠️CONFLICT⚠️ 300V,"{'from_the_manufacturer': '300V', 'features': '300 Volts'}",,
B08R7ZT3C7,"Wirenco 8/2 Metal Clad (MC) Cable with Ground, Aluminum Armored, Stranded Copper Conductor (25Ft Cut)",wirenco,65.6,4.8,123.0,B08R7ZT3C7_product_details.json,,,,,"#119,891inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#616inElectricalWire","{'details_table': '#119,891inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#616inElectricalWire'}",,,UL,{'features': 'UL'},Aluminum,{'overview': 'Aluminum'},,,2,{'product_name': '2'},,,,,USA,{'details_table': 'USA'},55 Amps,{'features': '55 Amps'},4.84.8outof5stars123ratings,{'details_table': '4.84.8outof5stars123ratings'},"December23,2020","{'details_table': 'December23,2020'}",,,,,⚠️CONFLICT⚠️ 8.0,"{'product_name': '8AWG', 'overview': '8.0'}",,,,,,,⚠️CONFLICT⚠️ 2 ft,"{'product_name': '2 ft', 'variants': '150 ft', 'overview': '19'}",wirenco,{'details_table': 'wirenco'},⚠️CONFLICT⚠️ Copper,"{'product_name': 'Aluminum', 'overview': 'Copper', 'features': 'ALUMINUM'}",,,,,21272-#,{'details_table': '21272-#'},17.17x16.61x4.57inches;6.53Pounds,{'details_table': '17.17x16.61x4.57inches;6.53Pounds'},,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 25°F,"{'product_name': '25°F', 'variants': '150°F'}",,,,,,,,,,
B08V4L3H2H,"Wirenco 12/2 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Equivalent to (100Ft Cut)",wirenco,82.26,4.7,309.0,B08V4L3H2H_product_details.json,,,,,"#54,382inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#284inElectricalWire","{'details_table': '#54,382inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#284inElectricalWire'}",,,,,Yellow,{'overview': 'Yellow'},,,2,{'product_name': '2'},,,,,USA,{'details_table': 'USA'},20 Amps,{'features': '20 Amps'},4.74.7outof5stars309ratings,{'details_table': '4.74.7outof5stars309ratings'},"January25,2021","{'details_table': 'January25,2021'}",,,,,⚠️CONFLICT⚠️ 6.0,"{'product_name': '12AWG', 'overview': '6.0', 'features': '12 AWG'}",,,,,,,⚠️CONFLICT⚠️ 100 ft,"{'product_name': '100 ft', 'variants': '1000 ft', 'overview': '1'}",wirenco,{'details_table': 'wirenco'},Copper,"{'overview': 'Copper', 'features': 'Copper'}",,,,,6215-#,{'details_table': '6215-#'},11.26x10.04x2.48inches;8.3Pounds,{'details_table': '11.26x10.04x2.48inches;8.3Pounds'},,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 100°F,"{'product_name': '100°F', 'variants': '1000°F'}",,,,,,,,,,
B002RL9JAW,Southwire 9044SW8808 Range Power Cord; 4-Foot; 1/4-Inch Flanged Terminals; Flat Plug; Compatible With Most Standard Free Standing Electrical Ranges With A 4 Conductor Wall Outlet; 125/250-Volt; 50-Amp,Southwire,28.4,4.7,840.0,B083K5FQ3B_product_details.json,50 Amps,{'details_table': '50 Amps'},No,{'details_table': 'Cord'},"#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs","{'details_table': '#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs'}",,,UL,{'features': 'UL'},Black/Yellow,"{'overview': 'Black/Yellow', 'details_table': 'Black/Yellow'}",,,4,{'product_name': '4'},Female-to-Male,{'overview': 'Female-to-Male'},,,,,,,"4.7  4.7 out of 5 stars    
    840 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    840 ratings   \n\n\n 4.7 out of 5 stars'},"February 17, 2007","{'details_table': 'February 17, 2007'}",,,Brushed,{'details_table': 'Brushed'},1AWG,{'product_name': '1AWG'},15Amps,{'overview': '15Amps'},,,Yes,{'details_table': 'Yes'},4',"{'details_table': ""4'""}",Coleman Cable,{'details_table': 'Coleman Cable'},Blend,"{'details_table': 'Blend', 'features': 'copper'}",,,,,9044SW8808,{'details_table': '1'},12 x 2 x 10 inches,{'details_table': '12 x 2 x 10 inches'},Power Cord,{'details_table': 'Power Cord'},4 PIN,{'details_table': '4 PIN'},ac,{'details_table': 'ac'},Rectangular,{'details_table': 'Rectangular'},4',"{'details_table': ""4'""}",,,,,4 Wire,{'details_table': '4 Wire'},,,(Old),{'details_table': '(Old)'},4°F,{'product_name': '4°F'},,,,,,,⚠️CONFLICT⚠️ 250 Volts,"{'overview': '250Volts', 'details_table': '250 Volts'}",12500.00,{'details_table': '12500.00'}
B088RC5ZT3,"100FT 22AWG Electrical Wire, 22/2 Gauge Oxygen Free Copper 12V/24V DC Red Black Zip Cord Wire Parallel Extension Wire, LED Strip Lights Hookup Wire for Led Strips Single Color 3528 5050",AOTORUA,,4.6,409.0,B088RC5ZT3_product_details.json,,,,,"#408,907inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,900inElectricalWire","{'details_table': '#408,907inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,900inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},⚠️CONFLICT⚠️ Red&Black,"{'product_name': 'Red', 'overview': 'Red&Black', 'features': 'Red'}",,,2,{'product_name': '2'},,,,,,,,,4.64.6outof5stars409ratings,{'details_table': '4.64.6outof5stars409ratings'},"May18,2020","{'details_table': 'May18,2020'}",,,,,⚠️CONFLICT⚠️ 22.0,"{'product_name': '22AWG', 'overview': '22.0', 'features': '22 AWG'}",,,,,,,100 Feet,"{'product_name': '100 ft', 'features': '100 Feet', 'overview': '25'}",Aotorua,{'details_table': 'Aotorua'},Copper,"{'product_name': 'Copper', 'overview': 'Copper', 'features': 'copper'}",,,,,,,,,,,,,,,,,0.13M,"{'features': '0.13M', 'details_table': '3.54x3.54x3.15inches;1.04Pounds'}",,,,,,,,,,,100°F,{'product_name': '100°F'},,,,,,,12V,"{'product_name': '12V', 'features': '12V'}",,
B0C6F4LL7W,MECCANIXITY 18 Gauge Wire Silicone Wire 18AWG Electrical Wire Stranded Wire High Temperature Hookup Wire Tinned Copper Wire Black 15m/49.2ft for Car Model Manipulator Electric Appliances,MECCANIXITY,14.49,4.6,14.0,B0C6F4LL7W_product_details.json,,,,,"#275,666inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,330inElectricalWire","{'details_table': '#275,666inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,330inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},⚠️CONFLICT⚠️ Black,"{'product_name': 'Black', 'overview': 'Black', 'variants': 'Red'}",,,,,,,,,China,{'details_table': 'China'},,,4.64.6outof5stars14ratings,{'details_table': '4.64.6outof5stars14ratings'},"May26,2023","{'details_table': 'May26,2023'}",,,,,⚠️CONFLICT⚠️ 18AWG,"{'product_name': '18AWG', 'variants': '30AWG', 'variant_info': '20AWG'}",,,,,,,⚠️CONFLICT⚠️ 15m,"{'product_name': '15 ft', 'features': '15m', 'variants': '98.4 ft', 'overview': 'MultiStrand'}",MECCANIXITY,{'details_table': 'MECCANIXITY'},Silicone,"{'product_name': 'Silicone', 'overview': 'Silicone', 'from_the_manufacturer': 'Silicone', 'features': 'silicone'}",,,,,,,5.51x4.02x1.85inches;6.53ounces,{'details_table': '5.51x4.02x1.85inches;6.53ounces'},,,,,,,,,15m,{'features': '15m'},,,,,,,,,,,49.2°C,"{'product_name': '49.2°C', 'features': '200°C'}",,,,,,,600Volts,"{'overview': '600Volts', 'features': '600V'}",,
B0BY7CMNDH,"50 FEET 6/3 Type NM-B Copper. #6 AWG, 3 Conductor with Ground. Insulated Jacket Black.",ARIZONAELECTRICALSOLUTIONS,225.0,4.7,114.0,B0BY7CMNDH_product_details.json,,,,,"#74,234inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#390inElectricalWire","{'details_table': '#74,234inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#390inElectricalWire'}",,,RoHS,{'features': 'RoHS'},Black,"{'product_name': 'Black', 'overview': 'Black'}",,,3,"{'product_name': '3', 'features': '4 conductor'}",,,,,USA,{'details_table': 'USA'},,,4.74.7outof5stars114ratings,{'details_table': '4.74.7outof5stars114ratings'},"March12,2023","{'details_table': 'March12,2023'}",,,,,⚠️CONFLICT⚠️ 6.00,"{'product_name': '6AWG', 'overview': '6.00'}",,,,,,,50 Feet,"{'product_name': '50 ft', 'features': '50 Feet', 'overview': '7'}",ArizonaElectricalSolutions,{'details_table': 'ArizonaElectricalSolutions'},⚠️CONFLICT⚠️ PolyvinylChloride,"{'product_name': 'Copper', 'overview': 'PolyvinylChloride', 'features': 'Copper'}",,,,,,,12.52x12.44x5.47inches;17.92Pounds,{'details_table': '12.52x12.44x5.47inches;17.92Pounds'},,,,,,,,,50 Feet,{'features': '50 Feet'},,,,,,,,,,,50°F,"{'product_name': '50°F', 'features': '90°C'}",,,,,,,600 Volt,{'features': '600 Volt'},,
B0CSD3KPX3,"SUNVIE 100FT 16/2 Low Voltage Landscape Wire, 16 Gauge Low Voltage Stranded Copper Wire, 16 AWG 2 Conductor Electric Wire Direct Burial Lamp Wire for Landscape Lighting Wire, ETL Listed, Black",SUNVIE,30.99,4.8,449.0,B0CSD3KPX3_product_details.json,,,,,"#7,705inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#33inElectricalWire","{'details_table': '#7,705inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#33inElectricalWire'}",,,VW-1,{'features': 'VW-1'},Black,"{'product_name': 'Black', 'overview': 'Black', 'features': 'black'}",,,2,"{'product_name': '2', 'features': '2 Conductors'}",,,,,,,,,4.84.8outof5stars449ratings,{'details_table': '4.84.8outof5stars449ratings'},"January15,2024","{'details_table': 'January15,2024'}",,,,,⚠️CONFLICT⚠️ 16.00,"{'product_name': '16AWG', 'overview': '16.00'}",,,,,,,⚠️CONFLICT⚠️ 100FT,"{'product_name': '100 ft', 'features': '100FT', 'overview': 'MultiStrand'}",SUNVIE,{'details_table': 'SUNVIE'},Copper,"{'product_name': 'Copper', 'overview': 'Copper', 'features': 'PVC'}",,,,,,,,,,,,,,,,,100FT,"{'features': '100FT', 'details_table': '9.5x9.5x2inches;3.55Pounds'}",,,,,,,,,,,100°F,{'product_name': '100°F'},,,,,,,300V,{'features': '300V'},,
